X,Y,Nedbor,Month
12.0,1.5,200.0,7.0
12.0,1.5,318.0,8.0
12.0,1.5,425.0,9.0
12.0,1.5,244.0,10.0
12.0,1.5,259.0,11.0
12.0,1.5,246.0,12.0
12.0,5.0,310.0,1.0
12.0,5.0,252.0,2.0
12.0,5.0,297.0,3.0
12.0,5.0,268.0,4.0
12.0,5.0,304.0,5.0
12.0,5.0,369.0,6.0
12.0,5.0,319.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,499.0,10.0
12.0,5.0,382.0,11.0
12.0,5.0,434.0,12.0
